handle,domain,eligible_for_bounty
lpl_financial-vdp,advisoryworld.com,False
lpl_financial-vdp,lpl.com,False
lpl_financial-vdp,advisoryworld.com,False
lpl_financial-vdp,lpl.com,False
aws_vdp,*.sa.aws.dev,False
aws_vdp,*.lostark.games.aws.dev,False
aws_vdp,*.people.aws.com,False
aws_vdp,*.workshops.aws.dev,False
aws_vdp,*.agslauncher.com,False
aws_vdp,*.cloudendure.com,False
aws_vdp,*.newworld.com,False
aws_vdp,*.tsologic.com,False
aws_vdp,www.awseducate.com,False
aws_vdp,*.agscollab.com,False
aws_vdp,*.lostark.games.aws.dev,False
aws_vdp,forums.newworld.com,False
aws_vdp,https://github.com/aws-samples,False
aws_vdp,www.awseducate.com,False
aws_vdp,*.agscollab.com,False
aws_vdp,*.agslauncher.com,False
aws_vdp,*.amazongames.com,False
aws_vdp,*.aws.dev,False
aws_vdp,*.cloudendure.com,False
aws_vdp,*.gaming.amazon.com,False
aws_vdp,*.lambda-url.*.on.aws,False
aws_vdp,*.newworld.com,False
aws_vdp,*.tsologic.com,False
aws_vdp,*.workshops.aws.dev,False
aws_vdp,*.people.aws.com,False
aws_vdp,*.people.aws.dev,False
aws_vdp,*.sa.aws.dev,False
ion,*.acuriscybercheck.com,False
ion,*.acurisdatasolutions.com,False
ion,*.advisoryexplorer.com,False
ion,*.alerigb.com,False
ion,*.alerigb.us,False
ion,*.aleriglobal.com,False
ion,*.aleriglobalbanking.com,False
ion,*.aleriglobalbanking.net,False
ion,*.aleriglobalbanking.us,False
ion,*.algosys.com,False
ion,*.allegro-dev.com,False
ion,*.allegro-learning.com,False
ion,*.allegrodev.de,False
ion,*.allegrodev.jp,False
ion,*.allegrodev.net,False
ion,*.allegrodevelopment.info,False
ion,*.allegrodevelopment.net,False
ion,*.allegrodevelopment.org,False
ion,*.allegrosummit.com,False
ion,*.aml-kyc.com,False
ion,*.anvil.com,False
ion,*.asahi.cl.iongroup.com,False
ion,*.asahiasp.iongroup.com,False
ion,*.asianconverts.com,False
ion,*.aspectdsc.com,False
ion,*.aspectetrm.com,False
ion,*.avcj-lp.com,False
ion,*.avcjasean.com,False
ion,*.avcjausnz.com,False
ion,*.avcjaustralia.com,False
ion,*.avcjawards.com,False
ion,*.avcjchina.com,False
ion,*.avcjchinama.com,False
ion,*.avcjchinamaforum.com,False
